cumulative_proportion,cumulative_responses,response_rate,tot_contacts
0.00270953137683064857,71,0.074894514767932489450,948
0.01097245881397980999,329,0.089242476651677620200,2891
0.02619499479815706136,627,0.055951933909125046940,5326
0.03667013456195909408,915,0.078581173260572987720,3665
0.05363328722175856589,1179,0.044481887110362257790,5935
0.05462792532211412043,1183,0.011494252873563218390,348
0.06064148441162011684,1359,0.083650190114068441060,2104
0.07191690770444386011,1710,0.088973384030418250950,3945
0.08724233728520961712,1907,0.036740022379709063780,5362
0.09885216476694600373,2022,0.028311176760216642050,4062
0.10157312876561981960,2048,0.027310924369747899160,952
0.10530016348649235730,2175,0.097392638036809815950,1304
0.11783031702660371104,2359,0.041970802919708029200,4384
0.13553659010620905693,2535,0.028410008071025020180,6195
0.13618253324034800902,2546,0.048672566371681415930,226
0.13802318535709794328,2582,0.055900621118012422360,644
0.13869199373492322995,2592,0.042735042735042735040,234
0.15945077684665424322,2931,0.046674927715819909130,7263
0.17214956155895231454,3130,0.044789556605896916500,4443
0.19117344430598269102,3406,0.041466346153846153850,6656
0.20123129337250911753,3516,0.031258880363739698780,3519
0.20320342064045547567,3546,0.043478260869565217390,690
0.20568715773588357019,3581,0.040276179516685845800,869
0.21570213447049811934,3711,0.037100456621004566210,3504
0.22856955035498290824,3889,0.039537983118613949360,4502
0.24082532097085824693,4040,0.035214552238805970150,4288
0.26294744423738695996,4351,0.040180878552971576230,7740
0.26511678423212795391,4385,0.044795783926218708830,759
0.28231144748425156342,4607,0.036901595744680851060,6016
0.30420206015845613876,4866,0.033816425120772946860,7659
0.32471218374509826340,5106,0.033444816053511705690,7176
0.33778252866729927176,5257,0.033019899409577957580,4573
0.35671209228412351806,5511,0.038351200362373546730,6623
0.37273491179732247998,5695,0.032821976453799500540,5606
0.38374166847683179185,5839,0.037392884964944170350,3851
0.38678846219803587558,5892,0.049718574108818011260,1066
0.40065051618287621902,6037,0.029896907216494845360,4850
0.40386594107626702033,6092,0.048888888888888888890,1125
0.41394665538647978142,6265,0.049050184292599943290,3527
0.42984657421486469493,6445,0.032356642099586554020,5563
0.44690118784940950509,6631,0.031171442936148818500,5967
0.45734774605860361958,6748,0.032010943912448700410,3655
0.45873680961254844575,6766,0.037037037037037037040,486
0.47190718997587716793,6929,0.035373263888888888890,4608
0.47966994020738776025,7036,0.039396170839469808540,2716
0.49068527135327944759,7125,0.023092890503373118840,3854
0.51103533823411723012,7286,0.022612359550561797750,7120
0.52449725045444671828,7444,0.033545647558386411890,4710
0.53729035429695091977,7599,0.034629133154602323500,4476
0.54906309663995244031,7718,0.028890507404709881040,4119
0.56437709359887503003,7854,0.025382605449794699510,5358
0.56607197978712458130,7877,0.038785834738617200670,593
0.59030627993917845181,8081,0.024059440971812713760,8479
0.60434268140712709647,8213,0.026878436163714111180,4911
0.61554093450250946051,8303,0.022970903522205206740,3918
0.61889926716893985299,8330,0.022978723404255319150,1175
0.62467845751066091988,8386,0.027695351137487636000,2022
0.62756805268152145333,8405,0.018793273986152324430,1011
0.64354799986280853790,8539,0.023967089966016812730,5591
0.67787444694691833680,8803,0.021981681931723563700,12010
0.68336210543163863771,8848,0.023437500000000000000,1920
0.68681475722827516036,8892,0.036423841059602649010,1208
0.70641884553384627698,9092,0.029158769499927103080,6859
0.71125484457350604215,9127,0.020685579196217494090,1692
0.71322125553053081664,9147,0.029069767441860465120,688
0.72156992763150373276,9213,0.022595001711742553920,2921
0.72395077113034332164,9227,0.016806722689075630250,833
0.73242520207159107799,9391,0.055311973018549747050,2965
0.73652665515782734455,9424,0.022996515679442508710,1435
0.73952771839165875911,9461,0.035238095238095238100,1050
0.74305182407481507735,9487,0.021086780210867802110,1233
0.75046016302918748357,9600,0.043595679012345679010,2592
0.75138334724302324252,9614,0.043343653250773993810,323
0.75332689295636168242,9637,0.033823529411764705880,680
0.75445586436337445266,9661,0.060759493670886075950,395
0.76726897529410419691,9718,0.012714699977693508810,4483
0.76846082612125438726,9721,0.007194244604316546760,417
0.77375698819010163600,9749,0.015110631408526713440,1853
0.78047651167842321279,9809,0.025521054870267971080,2351
0.78541826247013227543,9863,0.031231925968768074030,1729
0.78963118361933942311,9898,0.023744911804613297150,1474
0.79354971475608501298,9934,0.026258205689277899340,1371
0.80225279813419611520,9993,0.019376026272577996720,3045
0.80800912323223084751,10029,0.017874875868917576960,2014
0.81067864043261041056,10053,0.025695931477516059960,934
0.81968754644502623788,10105,0.016497461928934010150,3152
0.82395191439252763838,10141,0.024128686327077747990,1492
0.82861928226000068597,10172,0.018983466013472137170,1633
0.83650779133178611852,10227,0.019927536231884057970,2760
0.84237558449279173194,10279,0.025328787140769605460,2053
0.84482216556722953276,10300,0.024532710280373831780,856
0.85526872377642364725,10333,0.009028727770177838580,3655
0.85959311298860167604,10363,0.019828155981493721080,1513
0.87159736592392733427,10423,0.014285714285714285710,4200
0.87879991768512272921,10465,0.016666666666666666670,2520
0.88117504487304073445,10498,0.039711191335740072200,831
0.88441047685465707853,10533,0.030918727915194346290,1132
0.89011535515439755801,10564,0.015531062124248496990,1996
0.90283128879946038027,10599,0.007866936390200044950,4449
0.91400953480661720154,10653,0.013807210432114548710,3911
0.91920280327887594464,10693,0.022014309301045679690,1817
0.92019458322377070736,10710,0.048991354466858789630,347
0.92349861093644605520,10739,0.025086505190311418690,1156
0.92985800683670786224,10776,0.016629213483146067420,2225
0.93434816906561181678,10813,0.023551877784850413750,1571
0.94097051526826647157,10867,0.023305999136814846780,2317
0.94703552115606672080,10903,0.016965127238454288410,2122
0.94973647806651499390,10938,0.037037037037037037040,945
0.95408087436691856545,11000,0.040789473684210526320,1520
0.95905978117961792179,11039,0.022388059701492537310,1742
0.96160639769518343643,11053,0.015712682379349046020,891
0.96280396483325521043,11060,0.016706443914081145580,419
0.96952634647703757904,11074,0.005952380952380952380,2352
0.97829516743074689320,11101,0.008800521512385919170,3068
0.97955847214441687914,11112,0.024886877828054298640,442
0.98305685442842607097,11121,0.007352941176470588240,1224
0.98466027964193028389,11132,0.019607843137254901960,561
0.98476888954944037318,11132,0.000000000000000000000,38
0.98488607392333283794,11132,0.000000000000000000000,41
