lead_time
0
0
2
2
3
3
3
4
4
6
6
7
0
0
0
7
7
7
0
7
1
1
1
1
2
3
3
3
10
10
4
4
4
11
11
12
12
5
12
13
6
14
14
14
0
14
14
0
1
1
15
1
16
17
4
4
4
18
18
18
5
5
19
5
21
14
7
21
14
22
9
9
9
16
23
24
24
24
24
11
25
5
5
26
26
19
19
5
13
6
27
20
13
13
0
0
0
28
0
0
0
0
28
0
8
1
1
1
1
15
1
1
1
1
1
29
30
2
30
2
2
3
3
3
31
3
3
3
32
4
11
4
4
32
4
4
4
4
32
4
32
25
4
25
4
26
5
5
33
5
26
5
5
5
5
33
5
12
34
20
6
20
34
6
6
6
6
34
34
6
6
34
7
7
7
8
8
8
8
36
29
9
9
38
31
38
10
10
11
12
26
12
13
13
0
14
42
0
0
0
15
15
36
44
44
44
31
31
4
46
4
18
18
4
25
46
32
5
47
5
20
48
20
20
6
6
7
7
42
35
7
21
7
7
21
21
36
22
36
9
9
23
9
9
10
3
4
25
46
46
11
27
55
27
42
0
0
28
0
0
14
28
1
1
1
1
1
1
1
43
1
1
2
2
30
58
51
2
3
3
10
3
3
53
4
4
4
4
11
11
19
5
33
5
5
34
20
6
34
6
27
6
6
6
6
6
6
7
7
7
14
63
63
7
7
7
21
35
21
35
36
8
22
22
58
37
23
37
9
16
9
10
10
10
38
38
38
10
10
10
10
10
11
11
25
11
11
11
11
11
11
11
67
61
68
26
40
12
40
12
5
40
41
27
13
13
13
41
41
13
13
69
48
13
20
13
13
13
27
41
14
14
14
28
14
0
7
49
14
7
42
70
42
42
1
29
71
1
29
15
29
29
1
51
2
16
9
30
16
44
44
31
3
31
3
3
17
45
66
73
17
17
17
32
18
46
4
4
32
4
18
67
18
18
18
46
4
32
46
75
5
33
61
19
47
19
19
19
33
19
5
19
19
5
19
33
47
19
5
48
20
76
6
20
20
34
34
20
20
20
6
48
20
35
0
14
35
1
1
36
1
43
78
2
38
3
3
3
3
3
74
4
4
26
5
5
61
40
40
5
54
83
6
6
6
7
28
42
56
42
7
8
8
57
29
8
43
58
86
31
3
59
45
45
11
11
46
11
12
61
89
47
33
33
89
62
13
83
13
14
49
35
49
0
0
64
64
15
1
64
78
64
64
2
3
52
17
94
4
4
4
18
4
95
4
18
4
95
68
40
68
19
19
19
68
96
47
5
55
20
20
20
6
0
7
0
21
56
98
21
0
0
0
49
22
8
1
1
1
22
1
22
78
1
1
2
2
2
2
2
2
73
73
17
3
10
59
3
3
10
59
25
60
4
74
4
25
25
25
60
4
39
18
25
4
25
11
4
11
5
26
5
12
5
5
5
62
27
90
27
6
6
6
27
27
6
7
28
7
7
63
14
28
84
28
29
29
15
8
64
8
8
8
29
9
9
9
9
9
30
65
24
17
10
101
17
17
18
88
32
32
32
32
32
109
25
18
32
32
32
32
11
67
18
11
11
11
18
12
19
12
12
33
110
33
33
12
12
12
12
69
34
13
13
20
34
34
83
20
13
20
69
34
34
13
13
20
13
34
34
20
111
13
104
69
34
20
13
14
70
14
14
0
14
14
14
0
64
71
15
15
85
15
85
1
1
22
16
16
16
23
2
72
2
23
2
2
16
2
16
16
16
72
2
2
3
24
3
24
24
3
17
17
3
24
115
17
17
3
73
3
17
18
18
74
4
11
25
81
81
4
4
25
4
18
4
18
74
4
18
32
88
4
95
4
88
74
25
4
25
18
18
18
25
25
18
4
25
18
18
74
18
25
4
4
74
18
5
19
5
19
5
5
19
19
26
19
5
5
5
89
75
26
19
89
19
5
19
75
5
68
26
19
5
19
19
5
26
19
19
5
5
68
19
75
5
19
19
89
19
26
5
26
89
26
19
89
6
20
20
6
6
90
90
27
6
6
6
20
6
27
20
20
6
6
6
27
76
20
6
76
20
20
27
6
27
20
119
112
7
21
7
70
7
91
21
77
7
28
112
7
7
21
105
7
21
105
21
91
70
70
21
7
21
7
21
7
21
8
8
8
36
22
78
22
22
22
22
8
30
23
30
9
30
24
24
101
80
32
25
81
11
25
11
12
26
40
26
12
82
82
34
104
13
28
28
14
29
29
29
30
16
100
39
18
32
18
81
39
32
18
33
19
33
33
34
41
104
34
35
22
36
36
37
37
23
38
94
45
38
39
25
25
39
39
25
25
46
39
39
40
26
40
40
48
41
48
27
41
41
28
28
28
49
28
43
50
50
50
115
45
32
32
46
53
54
47
47
33
33
55
34
146
118
34
35
49
105
49
35
35
50
106
50
50
127
0
44
51
37
51
51
107
37
