cumulative_proportion,cumulative_responses,response_rate,tot_contacts
0.000035705784337062604142,0,0.000000000000000000000,12
0.000895620090454653654142,21,0.072664359861591695500,289
0.001216972149488217094142,25,0.037037037037037037040,108
0.001794215662937395864142,40,0.077319587628865979380,194
0.002805879552487502984142,68,0.082352941176470588240,340
0.003683646750773625334142,91,0.077966101694915254240,295
0.003796715067840990244142,92,0.026315789473684210530,38
0.005495715305879552494142,107,0.026269702276707530650,571
0.005986669840514163304142,127,0.121212121212121212120,165
0.008923470602237562494142,248,0.122593718338399189460,987
0.010732563675315401104142,300,0.085526315789473684210,608
0.013312306593668174254142,382,0.094579008073817762400,867
0.015038086169959533454142,438,0.096551724137931034480,580
0.016650797429183527744142,485,0.086715867158671586720,542
0.016876934063318257574142,486,0.013157894736842105260,76
0.018995477267317305424142,555,0.096910112359550561800,712
0.020804570340395144034142,622,0.110197368421052631580,608
0.022378600333253987164142,634,0.022684310018903591680,529
0.022845751011663889564142,637,0.019108280254777070060,157
0.022967745774815520124142,637,0.000000000000000000000,41
0.023827660080933111174142,644,0.024221453287197231830,289
0.024196619852416091414142,650,0.048387096774193548390,124
0.027591644846465127354142,707,0.049956178790534618760,1141
0.029002023327779100214142,752,0.094936708860759493670,474
0.031575815282075696264142,815,0.072832369942196531790,865
0.032194715543918114734142,822,0.033653846153846153850,208
0.037264936919781004524142,922,0.058685446009389671360,1704
0.039505474886931682934142,945,0.030544488711819389110,753
0.041903713401571054514142,1011,0.081885856079404466500,806
0.045304689359676267554142,1060,0.042869641294838145230,1143
0.049509045465365389194142,1122,0.043878273177636234960,1413
0.051681147345870030944142,1169,0.064383561643835616440,730
0.054546536538919304924142,1223,0.056074766355140186920,963
0.057786836467507736254142,1302,0.072543617998163452710,1089
0.063889550107117353014142,1390,0.042905899561189663580,2051
0.066579385860509402524142,1419,0.032079646017699115040,904
0.068703880028564627474142,1455,0.050420168067226890760,714
0.068834801237800523694142,1455,0.000000000000000000000,44
0.069367412520828374204142,1467,0.067039106145251396650,179
0.069769102594620328504142,1470,0.022222222222222222220,135
0.072583908593192097134142,1556,0.090909090909090909090,946
0.072786241371102118554142,1565,0.132352941176470588240,68
0.073086765055939062134142,1570,0.049504950495049504950,101
0.075886693644370388004142,1599,0.030818278427205100960,941
0.076270530825993810994142,1605,0.046511627906976744190,129
0.078749107355391573434142,1672,0.080432172869147659060,833
0.080257676743632468454142,1699,0.053254437869822485210,507
0.083399785765293977614142,1750,0.048295454545454545450,1056
0.085074982147107831454142,1828,0.138543516873889875670,563
0.085268388478933587224142,1829,0.015384615384615384620,65
0.085723637229231135424142,1837,0.052287581699346405230,153
0.086116400856938824074142,1844,0.053030303030303030300,132
0.088362889788145679584142,1900,0.074172185430463576160,755
0.092513687217329207314142,1956,0.040143369175627240140,1395
0.096477029278743156374142,2023,0.050300300300300300300,1332
0.098497381575815282054142,2044,0.030927835051546391750,679
0.099306712687455367744142,2054,0.036764705882352941180,272
0.099818495596286598404142,2058,0.023255813953488372090,172
0.101112830278505117804142,2077,0.043678160919540229890,435
0.101297310164246607924142,2078,0.016129032258064516130,62
0.107498214710783146844142,2148,0.033589251439539347410,2084
0.109057367293501547224142,2190,0.080152671755725190840,524
0.110821828136158057574142,2208,0.030354131534569983140,593
0.111053915734348964504142,2213,0.064102564102564102560,78
0.113487860033325398684142,2239,0.031784841075794621030,818
0.113725898595572482714142,2240,0.012500000000000000000,80
0.117171506784099024014142,2292,0.044905008635578583770,1158
0.123568793144489407254142,2369,0.035813953488372093020,2150
0.125416567483932397014142,2402,0.053140096618357487920,621
0.126466912639847655284142,2411,0.025495750708215297450,353
0.126931087836229469134142,2419,0.051282051282051282050,156
0.127499404903594382254142,2427,0.041884816753926701570,191
0.131325874791716257994142,2476,0.038102643856920684290,1286
0.132340514163294453664142,2494,0.052785923753665689150,341
0.132739228755058319414142,2505,0.082089552238805970150,134
0.135223756248512258954142,2544,0.046706586826347305390,835
0.135524279933349202534142,2545,0.009900990099009900990,101
0.137797548202808854994142,2571,0.034031413612565445030,764
0.138975839085931920934142,2603,0.080808080808080808080,396
0.141868007617233991874142,2648,0.046296296296296296300,972
0.143257557724351344884142,2680,0.068522483940042826550,467
0.146262794572720780734142,2731,0.050495049504950495050,1010
0.146521661509164484614142,2736,0.057471264367816091950,87
0.151841823375386812634142,2791,0.030760626398210290830,1788
0.153201618662223280144142,2802,0.024070021881838074400,457
0.153267079266841228251735,2802,0.000000000000000000000,22
0.153573553915734348941735,2807,0.048543689320388349510,103
0.156796000952154248961735,2856,0.045244690674053554940,1083
0.161006308021899547701735,2925,0.048763250883392226150,1415
0.161431801951916210401735,2927,0.013986013986013986010,143
0.162672577957629135891735,2943,0.038369304556354916070,417
0.163127826707926684091735,2948,0.032679738562091503270,153
0.163743751487741014011735,2957,0.043478260869565217390,207
0.165341585336824565551735,2978,0.039106145251396648040,537
0.168293263508688407491735,3019,0.041330645161290322580,992
0.169352535110687931411735,3029,0.028089887640449438200,356
0.172396453225422518411735,3069,0.039100684261974584560,1023
0.173780052368483694321735,3081,0.025806451612903225810,465
0.176993572958819328691735,3123,0.038888888888888888890,1080
0.180602832658890740261735,3175,0.042868920032976092330,1213
0.184274577481552011391735,3221,0.037277147487844408430,1234
0.184399547726731730501735,3221,0.000000000000000000000,42
0.184581052130445132071735,3227,0.098360655737704918030,61
0.188699119257319685751735,3289,0.044797687861271676300,1384
0.194141275886693644331735,3338,0.026790595954073264080,1829
0.196670435610568912121735,3366,0.032941176470588235290,850
